user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,class
25795,2023-07-17 00:00:00,2023-05-12 11:00:00,77,DEV4482,SEO,FireFox,F,53,192.168.192.51,0
10860,2023-07-24 00:00:00,2023-06-09 22:00:00,34,DEV9037,SEO,FireFox,M,39,192.168.62.156,0
86820,2023-08-02 00:00:00,2023-01-24 14:00:00,257,DEV3884,Ads,FireFox,F,57,192.168.181.125,0
64886,2023-02-25 00:00:00,2023-11-10 10:00:00,382,DEV3638,SEO,Chrome,F,40,192.168.85.49,0
16265,2023-10-14 00:00:00,2023-02-08 09:00:00,406,DEV4877,SEO,Chrome,M,48,192.168.64.43,0
92386,2023-10-20 00:00:00,2023-03-01 19:00:00,346,DEV2615,Direct,Chrome,F,45,192.168.7.248,0
47194,2023-06-24 00:00:00,2023-09-07 14:00:00,433,DEV7004,Ads,Chrome,F,36,192.168.8.22,0
97498,2023-05-08 00:00:00,2023-10-20 17:00:00,465,DEV4808,SEO,IE,M,39,192.168.251.211,0
54131,2023-10-19 00:00:00,2023-06-15 13:00:00,352,DEV1226,Ads,FireFox,F,18,192.168.161.15,0
70263,2023-10-15 00:00:00,2023-05-27 05:00:00,400,DEV1535,Direct,Safari,F,20,192.168.246.213,0
26023,2023-08-14 00:00:00,2023-06-13 13:00:00,169,DEV2122,SEO,FireFox,M,25,192.168.252.237,0
51090,2023-03-05 00:00:00,2023-04-01 15:00:00,289,DEV5365,Direct,IE,F,30,192.168.189.214,0
77221,2023-02-17 00:00:00,2023-04-07 01:00:00,266,DEV8089,Direct,FireFox,M,18,192.168.64.205,0
74820,2023-07-21 00:00:00,2023-10-01 18:00:00,120,DEV6213,Ads,FireFox,F,46,192.168.179.112,1
10769,2023-03-01 00:00:00,2023-09-25 04:00:00,56,DEV4534,Ads,Safari,M,30,192.168.150.37,0
69735,2023-09-14 00:00:00,2023-07-14 10:00:00,188,DEV1658,Ads,Safari,M,59,192.168.121.167,1
72955,2023-03-06 00:00:00,2023-07-09 10:00:00,45,DEV8218,SEO,Safari,M,46,192.168.113.7,1
74925,2023-08-27 00:00:00,2023-07-15 20:00:00,420,DEV5991,Ads,FireFox,F,47,192.168.31.39,0
77969,2023-10-16 00:00:00,2023-05-13 18:00:00,207,DEV9208,SEO,IE,F,33,192.168.193.175,0
15311,2023-02-07 00:00:00,2023-04-16 17:00:00,51,DEV2903,Direct,Chrome,M,58,192.168.12.122,0
93104,2023-01-25 00:00:00,2023-04-13 07:00:00,488,DEV2612,Ads,Chrome,F,51,192.168.26.173,0
63707,2023-02-28 00:00:00,2023-01-13 22:00:00,341,DEV6397,Direct,FireFox,F,57,192.168.70.2,0
95305,2023-10-24 00:00:00,2023-01-12 11:00:00,99,DEV9627,Ads,Chrome,F,20,192.168.84.60,0
38693,2023-06-07 00:00:00,2023-11-11 08:00:00,354,DEV4455,Direct,Chrome,F,46,192.168.71.192,0
81932,2023-02-26 00:00:00,2023-06-07 02:00:00,77,DEV3004,SEO,FireFox,F,47,192.168.144.153,0
35658,2023-02-17 00:00:00,2023-10-22 05:00:00,79,DEV3733,Direct,FireFox,F,51,192.168.28.71,0
94478,2023-02-25 00:00:00,2023-06-04 20:00:00,119,DEV6251,SEO,IE,F,21,192.168.165.178,0
28431,2023-03-06 00:00:00,2023-09-29 20:00:00,391,DEV9454,Ads,Chrome,F,25,192.168.42.199,1
12747,2023-09-25 00:00:00,2023-03-13 23:00:00,406,DEV3441,Ads,FireFox,M,64,192.168.7.152,0
69150,2023-03-10 00:00:00,2023-08-24 00:00:00,418,DEV8950,Ads,Chrome,F,35,192.168.233.105,0
75725,2023-08-04 00:00:00,2023-02-10 16:00:00,360,DEV7041,SEO,Safari,M,39,192.168.245.123,0
94654,2023-03-30 00:00:00,2023-07-19 02:00:00,31,DEV7351,Ads,Safari,F,27,192.168.54.172,0
45773,2023-10-08 00:00:00,2023-10-05 17:00:00,492,DEV1807,SEO,IE,M,31,192.168.218.213,0
77435,2023-09-14 00:00:00,2023-01-22 17:00:00,286,DEV3512,SEO,FireFox,M,63,192.168.66.56,0
66886,2023-06-09 00:00:00,2023-07-20 01:00:00,408,DEV1357,Direct,Chrome,M,48,192.168.48.244,0
76803,2023-08-22 00:00:00,2023-02-04 03:00:00,204,DEV8311,Ads,Safari,M,52,192.168.53.174,1
41551,2023-05-11 00:00:00,2023-04-11 00:00:00,430,DEV3401,Direct,FireFox,F,63,192.168.191.101,0
21394,2023-02-18 00:00:00,2023-04-08 09:00:00,54,DEV2274,SEO,Safari,F,19,192.168.240.23,0
79092,2023-05-27 00:00:00,2023-10-11 04:00:00,419,DEV1988,Direct,Safari,F,19,192.168.61.32,1
13890,2023-01-02 00:00:00,2023-11-07 04:00:00,120,DEV1017,Ads,FireFox,M,52,192.168.98.39,0
51606,2023-05-25 00:00:00,2023-05-01 08:00:00,218,DEV2738,SEO,Safari,M,51,192.168.156.7,0
90038,2023-03-02 00:00:00,2023-03-31 13:00:00,239,DEV3763,Direct,FireFox,F,46,192.168.202.15,0
97313,2023-09-30 00:00:00,2023-05-30 20:00:00,448,DEV7628,Ads,IE,M,23,192.168.122.160,0
20627,2023-02-18 00:00:00,2023-08-12 12:00:00,187,DEV6121,Ads,FireFox,F,21,192.168.63.254,0
18792,2023-05-11 00:00:00,2023-01-28 12:00:00,428,DEV1913,Direct,Safari,M,18,192.168.138.156,0
83969,2023-02-12 00:00:00,2023-03-05 23:00:00,259,DEV9757,SEO,Safari,M,52,192.168.48.108,1
53001,2023-02-26 00:00:00,2023-04-17 00:00:00,434,DEV8333,Ads,Chrome,M,64,192.168.87.193,0
86552,2023-02-19 00:00:00,2023-10-20 16:00:00,337,DEV3912,SEO,IE,M,43,192.168.4.215,0
